id,type,a,b,gen,score
0,N,None,None,0,1.0
1,N,None,None,0,0.047619047619047616
2,N,None,None,0,0.011764705882352941
3,N,None,None,0,0.02702702702702703
4,N,None,None,0,0.010101010101010102
5,N,None,None,0,0.02040816326530612
6,N,None,None,0,0.014084507042253521
7,N,None,None,0,0.010309278350515464
8,N,None,None,0,0.014084507042253521
9,N,None,None,0,1.0
10,N,None,None,0,0.010101010101010102
11,N,None,None,0,0.02040816326530612
12,N,None,None,0,1.0
13,N,None,None,0,0.04
14,N,None,None,0,0.015384615384615385
15,N,None,None,0,0.010309278350515464
16,N,None,None,0,0.01639344262295082
17,N,None,None,0,1.0
18,N,None,None,0,0.010101010101010102
19,N,None,None,0,1.0
20,N,None,None,0,0.06666666666666667
21,N,None,None,0,0.03225806451612903
22,N,None,None,0,0.011764705882352941
23,N,None,None,0,0.02040816326530612
24,N,None,None,0,0.014084507042253521
25,N,None,None,0,0.024390243902439025
26,N,None,None,0,0.02040816326530612
27,N,None,None,0,0.03225806451612903
28,N,None,None,0,0.02040816326530612
29,N,None,None,0,0.010101010101010102
30,N,None,None,0,0.04
31,N,None,None,0,1.0
32,N,None,None,0,0.010101010101010102
33,N,None,None,0,1.0
34,N,None,None,0,0.010309278350515464
35,N,None,None,0,1.0
36,N,None,None,0,0.011764705882352941
37,N,None,None,0,0.0196078431372549
38,N,None,None,0,1.0
39,N,None,None,0,0.017543859649122806
40,N,None,None,0,0.024390243902439025
41,N,None,None,0,0.024390243902439025
42,N,None,None,0,0.030303030303030304
43,N,None,None,0,0.014084507042253521
44,N,None,None,0,0.03225806451612903
45,N,None,None,0,1.0
46,N,None,None,0,0.0196078431372549
47,N,None,None,0,0.014084507042253521
48,N,None,None,0,0.047619047619047616
49,N,None,None,0,0.014084507042253521
50,N,None,None,0,0.02040816326530612
51,N,None,None,0,1.0
52,N,None,None,0,0.02040816326530612
53,N,None,None,0,0.02040816326530612
54,N,None,None,0,0.0136986301369863
55,N,None,None,0,0.010101010101010102
56,N,None,None,0,0.07692307692307693
57,N,None,None,0,1.0
58,N,None,None,0,0.0136986301369863
59,N,None,None,0,0.058823529411764705
60,N,None,None,0,1.0
61,N,None,None,0,0.04
62,N,None,None,0,1.0
63,N,None,None,0,1.0
64,N,None,None,0,1.0
65,N,None,None,0,0.015384615384615385
